"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","season"
"Melvin Gordon","RB","122.5","11.11","4.52","471","28.4","1.15","2015","2022"
"Michael Carter","RB","117.3","10.81","4.59","219","30.6","4.02","2021","2022"
"Michael Warren","RB","","","4.58","310","33.4","","2020","2022"
"Mike Boone","RB","140.9","11.33","4.49","198","29.6","","2018","2022"
"Mike Burton","RB","113.6","11.54","4.74","33","32.5","5.32","2015","2022"
"Mike Davis","RB","115.8","11.18","4.61","236","32","4.27","2015","2022"
"Miles Sanders","RB","123.2","11.08","4.49","211","29.4","2.21","2019","2022"
"Myles Gaskin","RB","119.4","11.46","4.58","335","30.3","7.2","2019","2022"
"Najee Harris","RB","","","4.53","309","30.6","1.24","2021","2022"
"Nate McCrary","RB","119.3","11.13","4.57","256","28.9","","2021","2022"
"Nathan Cottrell","RB","122.5","11.49","4.43","57","27.7","","2020","2022"
"Nick Bawden","RB","","11.53","4.77","94","31.5","7.19","2018","2022"
"Nick Bellore","RB","109.8","10.98","4.84","0","32.3","","2011","2022"
"Nick Chubb","RB","129.5","11.34","4.52","317","31.7","2.03","2018","2022"
"Nyheim Hines","RB","119.9","11.53","4.38","226","30.1","4.04","2018","2022"
"Patrick Laird","RB","117.8","11.04","4.61","301","27.8","","2019","2022"
"Patrick Ricard","RB","110","12.07","5.08","0","37.5","","2017","2022"
"Patrick Taylor","RB","119.3","","4.57","184","27.9","","2020","2022"
"Paul Perkins","RB","116.4","","4.54","284","29.8","5.1","2016","2022"
"Peyton Barber","RB","110.8","11.21","4.64","309","32.7","","2016","2022"
"Phillip Lindsay","RB","122.4","11.43","4.44","384","28.8","","2018","2022"
"Pierre Strong","RB","126.6","11.2","4.37","279","28.9","4.22","2022","2022"
"Qadree Ollison","RB","107.2","11.84","4.58","263","30.1","5.14","2019","2022"
"Rachaad White","RB","127.1","","4.48","378","29","3.27","2022","2022"
"Raheem Blackshear","RB","113","11.06","4.58","280","28.6","","2022","2022"
"Raheem Mostert","RB","134","11.2","4.43","123","28.6","","2015","2022"
"Rashaad Penny","RB","115.3","","4.46","501","30.7","1.27","2018","2022"
"Raymond Calais","RB","123.8","","4.42","125","28.6","7.31","2020","2022"
"Reggie Bonnafon","RB","128.1","11.22","4.58","110","28","","2018","2022"
"Reggie Gilliam","RB","123","11","4.63","35","33.1","","2020","2022"
"Rex Burkhead","RB","128.8","10.94","4.73","280","30.7","6.22","2013","2022"
"Rhamondre Stevenson","RB","109.6","11.24","4.69","226","32.2","4.15","2021","2022"
"Ricky Ortiz","RB","116","11.65","4.95","0","31.6","","2017","2022"
"Rico Dowdle","RB","128.1","","4.54","231","29.7","","2020","2022"
"Rob Kelley","RB","105.2","11.82","4.73","114","31.5","","2016","2022"
"Roc Thomas","RB","122.9","11.52","4.56","306","28.4","","2018","2022"
"Rodney Smith","RB","","","4.49","256","29.3","","2020","2022"
"Ronald Jones","RB","119.1","","4.53","334","28.6","2.06","2018","2022"
"Ronnie Rivers","RB","121.6","11.25","4.6","312","29.6","","2022","2022"
"Royce Freeman","RB","116.8","11.06","4.54","304","31.1","3.07","2018","2022"
"Russell Hansbrough","RB","108.9","11.99","4.68","173","29.2","","2016","2022"
"Ryan Nall","RB","117.1","11.11","4.58","374","30","","2018","2022"
"Ryquell Armstead","RB","108","11.31","4.45","316","30.7","5.02","2019","2022"
"Salvon Ahmed","RB","118.7","","4.62","242","27.5","","2020","2022"
"Samaje Perine","RB","114.1","11.63","4.65","278","32.5","4.07","2017","2022"
"Saquon Barkley","RB","134.7","","4.4","322","31.6","1.02","2018","2022"
"Scottie Phillips","RB","108","11.93","4.56","174","31.8","","2020","2022"
"Sewo Olonilua","RB","122.7","","4.66","185","29","","2020","2022"
"Shaun Wilson","RB","122.4","11.05","4.51","240","28.1","","2018","2022"
"Snoop Conner","RB","111.7","","4.59","177","31.9","5.11","2022","2022"
"Sony Michel","RB","","","4.54","275","29.8","1.31","2018","2022"
"Spencer Brown","RB","122.6","11.77","4.69","302","29.8","","2021","2022"
"Squally Canada","RB","105.6","11.44","4.73","196","30.3","","2019","2022"
"T.J. Logan","RB","117.5","10.88","4.37","176","28.9","5.36","2017","2022"
"Taiwan Jones","RB","133.2","10.98","4.38","284","26.4","4.28","2011","2022"
"Taquan Mizzell","RB","114.8","11.25","4.6","262","29.1","","2017","2022"
"Tarik Cohen","RB","112.6","","4.42","408","28.9","4.13","2017","2022"
"Tavien Feaster","RB","120.4","11.45","4.42","202","30.7","","2020","2022"
"Tavon Austin","RB","114.4","","4.34","263","26.5","1.08","2013","2022"
"Tevin Coleman","RB","","","4.45","432","28.7","3.09","2015","2022"
"Theo Riddick","RB","113.4","11.31","4.71","215","28.8","6.31","2013","2022"
"Tion Green","RB","107.6","11.96","4.84","138","30.8","","2017","2022"
"Tony Brooks-James","RB","123.9","11.33","4.54","121","28.1","","2019","2022"
"Tony Jones","RB","114.8","11.39","4.68","159","30.7","","2020","2022"
"Tony Pollard","RB","120","11.37","4.52","132","28.5","4.26","2019","2022"
"Tra Carson","RB","120.4","11.37","4.69","227","31.7","","2016","2022"
"Travis Etienne","RB","121","","4.5","257","30.8","1.25","2021","2022"
"Travis Homer","RB","132.2","11.38","4.48","192","28.8","6.31","2019","2022"
"Trayveon Williams","RB","116.6","11.88","4.51","345","31.3","6.09","2019","2022"
"Tre Madden","RB","117","11.47","4.61","158","30.2","","2016","2022"
"Trenton Cannon","RB","130","11.06","4.45","362","26.5","6.3","2018","2022"
"Trestan Ebner","RB","108.5","11.69","4.43","131","29.1","6.25","2022","2022"
"Trey Edmunds","RB","121.4","","4.53","187","29.4","","2017","2022"
"Trey Ragas","RB","115.5","11.65","4.68","226","31.3","","2021","2022"
"Trey Sermon","RB","125.4","11.14","4.66","165","29.2","3.24","2021","2022"
"Troymaine Pope","RB","119.5","11.08","4.6","258","31.2","","2016","2022"
"Ty Johnson","RB","120.2","","4.45","170","29.3","6.13","2019","2022"
"Ty Montgomery","RB","129.4","11.18","4.55","180","29.3","3.3","2015","2022"
"Ty'Son Williams","RB","","","4.53","168","30.7","","2020","2022"
"Tykevious Chandler","RB","113.2","11.81","4.38","234","28.4","5.26","2022","2022"
"Tyler Allgeier","RB","116.1","11.45","4.6","358","30.8","5.08","2022","2022"
"Tyler Badie","RB","117.5","11.35","4.45","433","30","6.18","2022","2022"
"Tyler Ervin","RB","131.3","11.37","4.41","351","27.5","4.21","2016","2022"
"Tyrion Davis-Price","RB","119.4","11.65","4.48","200","29.7","3.29","2022","2022"
"Wayne Gallman","RB","110.2","11.45","4.6","214","29.2","4.34","2017","2022"
"Wendell Smallwood","RB","117","11.11","4.47","223","29.8","5.14","2016","2022"
"Wes Hills","RB","","","4.64","343","27.6","","2019","2022"
"Xavier Jones","RB","","","4.59","286","29","","2020","2022"
"Zac Brooks","RB","125.7","11.47","4.54","60","26.4","7.26","2016","2022"
"Zack Moss","RB","","","4.65","357","32.9","3.22","2020","2022"
"Zamir White","RB","121","","4.4","198","29","4.17","2022","2022"
"Zonovan Knight","RB","113.1","11.02","4.58","169","29.1","","2022","2022"
