"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Rashod Bateman","WR","122.7","11.3","4.48","400","25.8","1.27","2021","10.04","36","72","190","34.7","2022"
"Ray-Ray McCloud","WR","115.2","11.21","4.53","106","27.3","6.13","2018","9.82","34.5","70","190","75.4","2022"
"Richie James","WR","121.4","11.03","4.48","315","27.3","7.22","2018","9.95","35.5","69","185","-85.3","2022"
"River Cracraft","WR","","","4.62","193","26.2","","2017","","36.5","72","193","","2022"
"Robert Foster","WR","110.7","11.1","4.41","181","25.2","","2018","10","31","74","196","99.9","2022"
"Robert Woods","WR","115.5","11.62","4.51","316","27.3","2.09","2013","9.77","33.5","72","201","49.5","2022"
"Romeo Doubs","WR","","","4.55","329","26.2","4.27","2022","","","74","204","-2.8","2022"
"Rondale Moore","WR","135.3","10.78","4.37","256","28.3","2.17","2021","10.13","42.5","67","181","42.4","2022"
"Russell Gage","WR","127.3","11.28","4.55","142","25.2","6.2","2018","10.14","39","72","186","99.9","2022"
"Sammy Watkins","WR","120.8","11.29","4.43","342","27.8","1.04","2014","9.99","34","73","211","94.1","2022"
"Samori Toure","WR","120.7","10.99","4.53","350","25.2","7.37","2022","10.07","34.5","73","191","","2022"
"Scott Miller","WR","119.3","10.99","4.44","415","25.7","6.35","2019","9.87","34","69","174","-35.6","2022"
"Seth Williams","WR","124.9","11.63","4.54","356","26.4","6.34","2021","10.09","37","75","211","25","2022"
"Shi Smith","WR","122.7","11.01","4.51","338","27.5","6.2","2021","9.97","36","69","186","1.1","2022"
"Simi Fehoko","WR","118.7","11.04","4.49","384","27","5.35","2021","10.15","34.5","76","222","18.6","2022"
"Skyy Moore","WR","121.2","11.45","4.41","448","27.4","2.22","2022","9.84","34.5","70","191","44.8","2022"
"Stanley Morgan","WR","128","10.91","4.53","375","27.4","","2019","10.21","38.5","72","202","20.6","2022"
"Stefon Diggs","WR","117","11.35","4.46","361","26.4","5.1","2015","9.94","35","72","195","-14.2","2022"
"Sterling Shepard","WR","131.2","11.35","4.48","332","27.8","2.09","2016","10.04","41","70","194","99.9","2022"
"Steven Sims","WR","111.1","11.63","4.61","298","27.2","","2019","9.5","31.5","69","184","-42.3","2022"
"T.Y. Hilton","WR","119.9","11.39","4.39","419","27","3.29","2012","9.89","35.5","69","183","-68","2022"
"Tajae Sharpe","WR","114","","4.55","378","24.9","5.01","2016","","33.5","74","194","-48.2","2022"
"Tanner Gentry","WR","126.1","11.72","4.63","448","27.4","","2017","9.89","38","73","208","","2022"
"Tarik Black","WR","134","11.17","4.59","240","27.1","","2021","10.33","40","75","217","94","2022"
"Tee Higgins","WR","114.2","","4.59","297","26.3","2.01","2020","","31","76","216","80.6","2022"
"Terrace Marshall","WR","128.8","","4.45","334","26.3","2.27","2021","","39","74","205","92.9","2022"
"Terry Godwin","WR","120.6","11.14","4.55","178","25.7","7.23","2019","9.95","36.5","71","184","68","2022"
"Terry McLaurin","WR","126.3","11.16","4.35","177","28.2","3.12","2019","10.15","37.5","72","208","99.9","2022"
"Tim Jones","WR","130","11.16","4.76","298","27.7","","2021","10.12","40","73","210","","2022"
"Tim Patrick","WR","127.8","11.37","4.52","381","25.3","","2017","10.23","37.5","76","208","14.2","2022"
"Tom Kennedy","WR","124.9","10.74","4.6","305","28.3","","2019","10.03","37","70","197","","2022"
