"name","position_symbol","burst_score","agility_score","40_yard_dash","college_dominator_rating","bmi","draft_pick","draft_year","catch_radius","vertical_jump","height_in","weight_lb","college_level_of_competition","season"
"Hunter Long","TE","117.9","11.83","4.76","218","30.1","3.17","2021","9.94","32.5","77","254","","2022"
"Ian Bunting","TE","122.8","11.7","4.98","45","27.8","","2019","10.06","35","79","247","","2022"
"Ian Thomas","TE","124.5","11.35","4.74","191","31.5","4.01","2018","10.19","36","76","259","","2022"
"Irv Smith","TE","111.9","11.65","4.63","140","31.1","2.18","2019","9.86","32.5","74","242","","2022"
"Isaac Nauta","TE","106","11.88","4.91","139","30.5","7.1","2019","9.58","28","75","244","","2022"
"Isaiah Likely","TE","124.5","11.96","4.88","314","29","4.34","2022","9.9","36","77","245","","2022"
"J.J. Arcega-Whiteside","TE","116.8","11.64","4.54","427","28.9","2.25","2019","9.93","34","74","225","9.3","2022"
"J.P. Holtz","TE","113.8","11.25","4.84","166","29.7","","2016","9.92","33","75","238","","2022"
"Jace Sternberger","TE","111.6","11.5","4.75","327","30.5","3.11","2019","9.91","31.5","76","251","","2022"
"Jack Stoll","TE","114.6","11.22","4.73","111","30.1","","2021","10.02","31.5","76","247","","2022"
"Jacob Hollister","TE","124.4","11.46","4.69","234","29.9","","2017","10.03","36.5","75","239","","2022"
"Jaeden Graham","TE","118.8","","4.78","181","30.4","","2018","","33","76","250","","2022"
"Jake Butt","TE","","","","221","29.2","5.01","2017","","","77","246","","2022"
"Jake Ferguson","TE","114.1","11.51","4.81","282","29.6","4.24","2022","9.91","31.5","77","250","","2022"
"Jake McGee","TE","106.9","11.89","4.89","192","29.6","","2016","9.66","28.5","77","250","","2022"
"Jake Tonges","TE","","","","165","29.2","","2022","15.22","","76","240","","2022"
"James Mitchell","TE","","","","174","30.3","5.34","2022","","","76","249","","2022"
"James O'Shaughnessy","TE","119.3","11.58","4.73","222","30.2","5.37","2015","10.01","35","76","248","","2022"
"Jared Pinkney","TE","","","4.96","219","31.3","","2020","","","76","257","","2022"
"Jason Croom","TE","119.5","11.73","4.74","97","29.2","","2017","10.01","34","77","246","","2022"
"Jason Vander Laan","TE","112.9","10.92","4.83","0","30.4","","2016","9.96","30.5","75","243","","2022"
"Jean Sifrin","TE","114.8","12.1","4.84","196","29","","2015","9.83","33","77","245","","2022"
"Jeff Heuerman","TE","120.4","","4.86","93","30.1","3.28","2015","","34.5","77","254","","2022"
"Jelani Woods","TE","130.1","11.28","4.61","346","28.4","3.09","2022","10.4","37.5","79","252","","2022"
"Jerell Adams","TE","115.4","11.36","4.64","173","29.3","6.09","2016","10.13","32.5","77","247","","2022"
"Jeremy Ruckert","TE","","","","147","29.6","3.37","2022","","","77","250","","2022"
"Jeremy Sprinkle","TE","108.8","11.63","4.69","142","29.9","5.1","2017","9.9","29","77","252","","2022"
"Jesper Horsted","TE","115","","4.82","488","27.9","","2019","","32","76","229","","2022"
"Jesse James","TE","126.1","12.03","4.83","181","29.4","5.24","2015","10.08","37.5","79","261","","2022"
"Jimmy Graham","TE","127.4","11.35","4.56","159","29.9","3.31","2010","10.41","38.5","78","259","","2022"
"Jody Fortson","TE","121.3","12.11","4.89","103","27.5","","2019","9.75","34","76","226","","2022"
"John Bates","TE","115.1","11.2","4.89","74","29.6","4.19","2021","9.97","31.5","77","250","","2022"
"John Lovett","TE","116.5","10.96","4.73","0","30","","2019","10","32","74","234","","2022"
"John Peters","TE","","","4.73","555","28.7","","2015","","","80","261","","2022"
"Johnny Mundt","TE","109","11.45","4.79","135","29.6","","2017","9.88","30","76","243","","2022"
"Jonnu Smith","TE","130","11.61","4.62","330","31","3.36","2017","10.17","38","75","248","","2022"
"Jordan Akins","TE","122.3","11.67","4.84","282","31.1","3.34","2018","9.93","35","75","249","","2022"
"Jordan Franks","TE","110.6","11.65","4.66","86","29","","2018","9.84","31.5","75","232","","2022"
"Jordan Leggett","TE","114.8","11.45","4.76","163","30.6","5.06","2017","10.05","33","77","258","","2022"
"Jordan Matthews","TE","120.4","11.13","4.46","483","26.5","2.1","2014","10.21","35.5","75","212","35","2022"
"Jordan Thomas","TE","102.8","12.25","4.74","149","30.6","6.37","2018","9.59","27","78","265","","2022"
"Josh Oliver","TE","118","11.68","4.63","206","29.5","3.05","2019","10.06","34","77","249","","2022"
"Joshua Perkins","TE","122.5","11.42","4.7","175","27.9","","2016","10.03","34","75","223","","2022"
"Josiah Deguara","TE","119.6","11.5","4.72","305","31.1","3.3","2020","9.97","35.5","74","242","","2022"
"Juwan Johnson","TE","119.8","11.31","4.58","176","28","","2020","10.13","33","76","230","56.2","2022"
"Kaden Smith","TE","110","11.55","4.92","167","30.2","6.03","2019","9.87","32","77","255","","2022"
"Kahale Warring","TE","124.9","11.46","4.67","196","29.9","3.22","2019","10.19","36.5","77","252","","2022"
"Kendall Blanton","TE","110.8","11.79","4.95","80","30.3","","2019","9.86","31","78","262","","2022"
